from_station_id,from_station_name
382,Western Ave & Congress Pkwy
383,Ashland Ave & Harrison St
388,Halsted St & 63rd St
394,Clark St & 9th St (AMLI)
396,Yates Blvd & 75th St
397,Saginaw Ave & Exchange Ave
399,South Shore Dr & 74th St
400,Cottage Grove Ave & 71st St
401,Shields Ave & 28th Pl
402,Shields Ave & 31st St
403,Wentworth Ave & 33rd St
405,Wentworth Ave & 35th St
406,Lake Park Ave & 35th St
410,Prairie Ave & 43rd St
411,Halsted St & 47th Pl
412,Princeton Ave & 47th St
413,Woodlawn Ave & Lake Park Ave
414,Canal St & Taylor St
415,Calumet Ave & 51st St
416,Dorchester Ave & 49th St
417,Cornell Ave & Hyde Park Blvd
418,Ellis Ave & 53rd St
419,Lake Park Ave & 53rd St
420,Ellis Ave & 55th St
421,MLK Jr Dr & 56th St (*)
422,DuSable Museum
423,University Ave & 57th St
424,Museum of Science and Industry
425,Harper Ave & 59th St
426,Ellis Ave & 60th St
427,Cottage Grove Ave & 63rd St
428,Dorchester Ave & 63rd St
431,Eberhart Ave & 61st St
432,Clark St & Lunt Ave
433,Kedzie Ave & Harrison St
434,Ogden Ave & Roosevelt Rd
435,Kedzie Ave & Roosevelt Rd
436,California Ave & Roosevelt Rd
437,Washtenaw Ave & 15th St
438,Central Park Ave & Ogden Ave
439,Kedzie Ave & 21st St
441,Kedzie Ave & 24th St
442,California Ave & 23rd Pl
443,Millard Ave & 26th St
444,Albany Ave & 26th St
445,California Ave & 26th St
446,Western Ave & 28th St
447,Glenwood Ave & Morse Ave
448,Warren Park East
449,Clark St & Columbia Ave
450,Warren Park West
451,Sheridan Rd & Loyola Ave
452,Western Ave & Granville Ave
453,Clark St & Schreiber Ave
454,Broadway & Granville Ave
455,Maplewood Ave & Peterson Ave
456,2112 W Peterson Ave
457,Clark St & Elmdale Ave
458,Broadway & Thorndale Ave
459,Lakefront Trail & Bryn Mawr Ave
460,Clark St & Bryn Mawr Ave
461,Broadway & Ridge Ave
462,Ravenswood Ave & Balmoral Ave
463,Clark St & Berwyn Ave
464,Damen Ave & Foster Ave
465,Marine Dr & Ainslie St
466,Ridge Blvd & Touhy Ave
467,Western Ave & Lunt Ave
468,Budlong Woods Library
469,St. Louis Ave & Balmoral Ave
470,Kedzie Ave & Foster Ave
471,Francisco Ave & Foster Ave
472,Lincoln Ave & Winona St
474,Christiana Ave & Lawrence Ave
475,Washtenaw Ave & Lawrence Ave
476,Kedzie Ave & Leland Ave
477,Manor Ave & Leland Ave
478,Rockwell St & Eastwood Ave
479,Drake Ave & Montrose Ave
480,Albany (Kedzie) Ave & Montrose Ave
481,California Ave & Montrose Ave
482,Campbell Ave & Montrose Ave
483,Avondale Ave & Irving Park Rd
484,Monticello Ave & Irving Park Rd
485,Sawyer Ave & Irving Park Rd
486,Oakley Ave & Irving Park Rd
487,California Ave & Byron St
488,Pulaski Rd & Eddy St
489,Drake Ave & Addison St
490,Troy St & Elston Ave
491,Talman Ave & Addison St
492,Leavitt St & Addison St
493,Western Ave & Roscoe St
494,Kedzie Ave & Bryn Mawr Ave
495,Keystone Ave & Montrose Ave
496,Avers Ave & Belmont Ave
497,Kimball Ave & Belmont Ave
498,California Ave & Fletcher St
499,Kosciuszko Park
500,Central Park Ave & Elbridge Ave
501,Richmond St & Diversey Ave
502,California Ave & Altgeld St
503,Drake Ave & Fullerton Ave
504,Campbell Ave & Fullerton Ave
505,Winchester Ave & Elston Ave
506,Spaulding Ave & Armitage Ave
507,Humboldt Blvd & Armitage Ave
508,Central Park Ave & North Ave
509,Troy St & North Ave
510,Spaulding Ave & Division St
511,Albany Ave & Bloomingdale Ave
514,Ridge Blvd & Howard St
515,Paulina St & Howard St
517,Clark St & Jarvis Ave
518,Conservatory Dr & Lake St
519,Wolcott Ave & Fargo Ave
520,Greenview Ave & Jarvis Ave
522,Bosworth Ave & Howard St
523,Eastlake Ter & Rogers Ave
525,Glenwood Ave & Touhy Ave
526,Oakley Ave & Touhy Ave
527,Western Ave & Howard St
528,Pulaski Rd & Lake St
532,Austin Blvd & Lake St
534,Pulaski Rd & Madison St
537,Kenton Ave & Madison St
547,Ashland Ave & Pershing Rd
552,Ashland Ave & McDowell Ave
553,Elizabeth St & 47th St
555,Ashland Ave & 50th St
570,Evans Ave & 75th St
572,State St & 76th St
573,State St & 79th St
575,Cottage Grove Ave & 78th St
576,Greenwood Ave & 79th St
577,Stony Island Ave & South Chicago Ave
583,Stony Island Ave & 82nd St
589,Milwaukee Ave & Cuyler Ave
590,Kilbourn Ave & Irving Park Rd
591,Kilbourn Ave & Milwaukee Ave
592,Knox Ave & Montrose Ave
594,Western Blvd & 48th Pl
596,Benson Ave & Church St
597,Chicago Ave & Washington St
600,Dodge Ave & Church St
601,Central St Metra
602,Central St & Girard Ave
603,Chicago Ave & Sheridan Rd
604,Sheridan Rd & Noyes St (NU)
605,University Library (NU)
606,Forest Ave & Chicago Ave
607,Cuyler Ave & Augusta St
609,Forest Ave & Lake St
610,Marion St & South Blvd
611,Oak Park Ave & South Blvd
612,Ridgeland Ave & Lake St
613,Wisconsin Ave & Madison St
614,East Ave & Madison St
615,Lombard Ave & Madison St
616,Oak Park Ave & Harrison St
617,East Ave & Garfield St
618,Lombard Ave & Garfield St
619,Keystone Ave & Fullerton Ave
620,Orleans St & Chestnut St (NEXT Apts)
622,California Ave & Cortez St
623,Michigan Ave & 8th St
624,Dearborn St & Van Buren St (*)
625,Chicago Ave & Dempster St
626,Delano Ct & Roosevelt Rd
